id,nama,email,password,alamat
49290,Rafly,rafly@gmail.com,rafly,Jl. Jakarta
49291,Andi,andi123@gmail.com,andi123,Jl. Bandung
49292,Budi,budi456@gmail.com,budi456,Jl. Surabaya
49293,Citra,citra789@gmail.com,citra789,Jl. Semarang
49294,Dewi,dewi101@gmail.com,dewi101,Jl. Yogyakarta
49295,Eka,eka202@gmail.com,eka202,Jl. Malang
49296,Fajar,fajar303@gmail.com,fajar303,Jl. Medan
49297,Gita,gita404@gmail.com,gita404,Jl. Palembang
49298,Hadi,hadi505@gmail.com,hadi505,Jl. Makassar
49299,Ika,ika606@gmail.com,ika606,Jl. Denpasar
23484,da,da@gmail.com,da,da
